citizen_id,name,date_of_birth,gender,phone_number,email_address,address,occupation
0001Ao80,Theresa Cobb,1941-10-20,F,165-43-7410,nathan61@yahoo.com,"51338 Courtney Passage Apt. 507
East Nancy, MH 08426",Trade union research officer
0003zL77,Joseph Stewart,1985-04-01,M,859-44-0146,deborahgreene@hotmail.com,"3777 Makayla Villages
North Beckyside, UT 35324",Company secretary
0011mB51,Michael Murray,2015-04-21,M,233-99-5271,aliciagonzalez@gmail.com,"70749 Vincent Port
South Jenniferfurt, GA 64138",Animal technologist
0018Fc07,Rachel Taylor,1913-04-01,F,446-25-4869,hamiltonluke@yahoo.com,"191 Ryan Causeway Suite 948
Lake Amanda, AK 24182",Textile designer
0025Lj90,Craig Kaiser,2001-05-18,M,736-02-2133,dixonmichael@yahoo.com,"2149 King Road
North David, ME 00921",Air cabin crew
0026Br50,Mark Small,1940-12-09,M,549-25-8631,acardenas@yahoo.com,"0563 Gregory Course
North Monique, NY 41319",Hydrologist
0031ML62,John Serrano,2010-06-20,M,507-21-1601,samuel11@hotmail.com,"486 Molly Streets
New Katherine, ID 81381","Chemist, analytical"
0041Js06,Christopher Davenport,1958-06-30,M,819-72-7202,larsonalexis@hotmail.com,"70263 Barnes Island Suite 418
Ericville, DE 25424",Agricultural consultant
0054Sn11,Caleb Walker,2015-08-05,M,849-88-8006,amanda04@hotmail.com,"78496 Schultz Road
Brownton, MA 04159","Editor, film/video"
0059aN83,Michael Maldonado,1989-06-08,M,633-06-6516,masonamanda@hotmail.com,"57106 Alvarez View Suite 725
Port Alexander, IA 52000",Physiological scientist
0060HS79,Elizabeth Obrien,2023-05-14,F,502-78-7541,daniellereed@gmail.com,"23332 Joshua Junction Suite 884
South Kristinland, MT 59781",Museum/gallery exhibitions officer
0061kL65,Alison Brown,1985-11-08,F,502-59-9117,kelsey55@gmail.com,"13695 Reynolds Hills Suite 381
Port Caseybury, CT 88916",Volunteer coordinator
0064hs33,Janet Brewer,1970-07-09,F,421-34-1481,hunterrobert@hotmail.com,"78137 Tammy Extensions
Ashleyburgh, GU 06494",Media planner
0076mQ78,Christopher Johnson,1955-01-01,M,869-40-9141,ocasey@gmail.com,"7334 Brittany Gardens
Lake Sheryl, NY 82903",Radio broadcast assistant
0080AN35,Kenneth Bailey,1982-05-28,M,218-78-3098,kingdarin@hotmail.com,"0037 Campbell Skyway
Port Kevinview, AK 32531",Insurance claims handler
